Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age
01245,66136.0,42633.0,870.0,829.0,13.0,0.0,3.0,0.0,14.0,6.0,137.0,30.0,52.0,207.0,105.0,34.0,15.0,54.7,56.2,54.3
01247,38007.0,23957.0,15725.0,14646.0,175.0,39.0,30.0,21.0,711.0,554.0,3391.0,670.0,704.0,1600.0,720.0,168.0,94.0,44.4,43.0,45.9
01253,71010.0,39333.0,734.0,729.0,0.0,0.0,0.0,0.0,5.0,15.0,169.0,11.0,68.0,89.0,59.0,26.0,9.0,51.9,52.4,49.8
01254,89583.0,67264.0,985.0,921.0,14.0,6.0,24.0,0.0,20.0,1.0,127.0,4.0,122.0,238.0,89.0,56.0,41.0,58.7,59.8,58.1
01255,67333.0,36881.0,869.0,824.0,3.0,0.0,16.0,0.0,17.0,13.0,167.0,12.0,46.0,120.0,86.0,13.0,24.0,50.5,49.5,50.5
01256,49000.0,27351.0,764.0,670.0,56.0,0.0,0.0,0.0,36.0,17.0,208.0,39.0,48.0,60.0,35.0,2.0,1.0,47.9,48.1,47.8
01257,50688.0,34538.0,2164.0,2137.0,12.0,0.0,0.0,0.0,0.0,7.0,536.0,34.0,99.0,277.0,258.0,13.0,13.0,52.6,52.5,52.8
01258,65739.0,45881.0,359.0,346.0,0.0,5.0,1.0,5.0,0.0,5.0,77.0,3.0,20.0,122.0,36.0,8.0,18.0,63.0,62.1,64.0
01259,61125.0,56822.0,556.0,547.0,7.0,0.0,0.0,0.0,2.0,0.0,92.0,12.0,37.0,116.0,107.0,31.0,0.0,60.2,58.9,60.4
01260,101979.0,26842.0,545.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,24.0,47.0,52.0,11.0,0.0,0.0,42.9,45.4,32.1
01262,45500.0,38899.0,1196.0,1064.0,34.0,0.0,5.0,0.0,81.0,43.0,274.0,42.0,27.0,180.0,142.0,18.0,43.0,54.3,52.5,55.8
01264,75417.0,45563.0,161.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,15.0,18.0,37.0,0.0,11.0,61.4,59.3,62.5
01266,68542.0,46857.0,1380.0,1274.0,0.0,28.0,31.0,4.0,29.0,29.0,230.0,3.0,83.0,240.0,181.0,61.0,46.0,56.6,56.6,56.5
01267,73085.0,30864.0,7846.0,6501.0,398.0,60.0,417.0,0.0,304.0,544.0,518.0,61.0,224.0,1054.0,880.0,155.0,415.0,31.2,25.8,32.1
01270,71250.0,38157.0,814.0,798.0,0.0,0.0,14.0,0.0,0.0,13.0,130.0,18.0,64.0,160.0,87.0,13.0,5.0,51.2,52.7,49.6
01301,49024.0,28633.0,17730.0,16414.0,331.0,0.0,187.0,0.0,508.0,1308.0,3187.0,607.0,1611.0,2134.0,1513.0,184.0,119.0,42.6,41.5,43.7
01330,79118.0,40071.0,1468.0,1417.0,4.0,0.0,9.0,0.0,38.0,2.0,228.0,18.0,109.0,321.0,194.0,29.0,20.0,50.2,48.4,51.4
01331,51750.0,25349.0,13205.0,12333.0,83.0,11.0,114.0,0.0,202.0,725.0,3177.0,406.0,1083.0,1200.0,418.0,18.0,68.0,43.9,43.3,44.1
01337,65139.0,33697.0,2598.0,2529.0,10.0,0.0,41.0,0.0,12.0,64.0,657.0,39.0,290.0,339.0,198.0,33.0,19.0,50.6,50.8,50.4
01338,66375.0,25680.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,46.0,11.0,22.0,0.0,0.0,60.6,60.9,53.6
01339,51346.0,31610.0,1461.0,1414.0,9.0,0.0,29.0,0.0,7.0,4.0,282.0,40.0,59.0,180.0,141.0,25.0,19.0,49.4,46.9,50.4
01340,54063.0,29598.0,1689.0,1615.0,8.0,5.0,30.0,0.0,29.0,9.0,389.0,64.0,127.0,180.0,119.0,22.0,17.0,51.9,52.5,50.9
01341,89688.0,44806.0,1716.0,1704.0,0.0,0.0,1.0,0.0,3.0,50.0,160.0,16.0,130.0,334.0,277.0,75.0,45.0,50.2,50.6,50.0
01342,102219.0,46922.0,1768.0,1482.0,69.0,0.0,81.0,0.0,131.0,84.0,154.0,19.0,38.0,375.0,373.0,28.0,92.0,47.4,48.0,47.3
01343,83125.0,40280.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,4.0,2.0,0.0,0.0,2.0,59.1,57.7,59.5
01344,61563.0,27271.0,1582.0,1487.0,29.0,0.0,13.0,0.0,49.0,35.0,425.0,71.0,198.0,117.0,46.0,6.0,9.0,41.6,42.6,40.8
01346,56500.0,33586.0,465.0,450.0,0.0,1.0,2.0,0.0,7.0,12.0,106.0,16.0,38.0,56.0,34.0,2.0,21.0,50.1,49.4,50.9
01347,39211.0,19143.0,133.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,24.0,0.0,20.0,0.0,0.0,38.9,50.1,37.6
01349,60493.0,25594.0,1106.0,1059.0,8.0,16.0,0.0,0.0,23.0,0.0,311.0,25.0,46.0,105.0,45.0,0.0,0.0,42.1,37.2,49.5
01350,31750.0,22175.0,95.0,94.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,9.0,6.0,11.0,2.0,0.0,0.0,45.5,35.5,48.5
01351,81833.0,39407.0,2312.0,2233.0,1.0,16.0,11.0,0.0,51.0,36.0,448.0,15.0,246.0,386.0,215.0,34.0,63.0,46.4,46.3,46.7
01354,74167.0,33295.0,1656.0,1517.0,47.0,0.0,14.0,0.0,33.0,50.0,317.0,24.0,123.0,345.0,207.0,10.0,39.0,44.4,42.5,45.8
01355,68681.0,36187.0,915.0,905.0,0.0,0.0,0.0,0.0,10.0,0.0,169.0,20.0,46.0,158.0,97.0,15.0,40.0,51.5,50.3,53.4
01360,63963.0,33157.0,3006.0,2920.0,12.0,0.0,44.0,0.0,23.0,95.0,544.0,66.0,371.0,372.0,366.0,66.0,26.0,45.7,43.8,47.9
01364,37911.0,22077.0,7832.0,7622.0,17.0,30.0,50.0,0.0,113.0,141.0,1977.0,324.0,567.0,504.0,275.0,51.0,49.0,46.5,45.4,47.4
01366,65774.0,35322.0,1202.0,1173.0,8.0,0.0,2.0,0.0,19.0,20.0,237.0,13.0,90.0,153.0,87.0,29.0,58.0,50.5,51.9,48.4
01367,50357.0,25178.0,686.0,674.0,1.0,0.0,0.0,0.0,8.0,24.0,121.0,20.0,24.0,73.0,48.0,1.0,7.0,42.2,43.3,39.5
01368,67333.0,28429.0,1363.0,1345.0,2.0,9.0,5.0,0.0,2.0,15.0,368.0,33.0,97.0,88.0,56.0,12.0,11.0,48.3,48.8,47.6
01370,54803.0,36488.0,3879.0,3691.0,11.0,17.0,86.0,0.0,72.0,18.0,570.0,99.0,301.0,813.0,410.0,35.0,61.0,51.4,50.5,52.3
01373,71174.0,36138.0,4184.0,4016.0,16.0,12.0,42.0,0.0,75.0,63.0,539.0,48.0,396.0,758.0,504.0,35.0,36.0,46.8,46.4,47.1
01375,53934.0,34286.0,3673.0,3074.0,126.0,22.0,292.0,59.0,30.0,229.0,346.0,40.0,176.0,540.0,574.0,57.0,177.0,27.7,26.5,31.8
01376,41836.0,25130.0,5101.0,4410.0,145.0,33.0,166.0,0.0,324.0,236.0,893.0,211.0,402.0,536.0,301.0,17.0,31.0,43.8,41.4,45.7
01378,56985.0,31262.0,734.0,711.0,0.0,4.0,8.0,0.0,9.0,13.0,144.0,12.0,45.0,130.0,61.0,2.0,6.0,54.8,55.4,54.4
01379,44750.0,29457.0,775.0,737.0,12.0,6.0,6.0,0.0,13.0,13.0,126.0,26.0,48.0,151.0,108.0,2.0,23.0,52.0,52.3,51.0
01420,50617.0,23622.0,40441.0,32601.0,1558.0,110.0,1830.0,0.0,1518.0,10401.0,7498.0,1382.0,2255.0,3340.0,1568.0,121.0,143.0,34.6,34.0,36.1
01430,86219.0,35860.0,6171.0,5974.0,59.0,0.0,9.0,0.0,98.0,53.0,984.0,96.0,522.0,1103.0,486.0,24.0,0.0,42.3,40.4,43.9
01431,89934.0,32514.0,3196.0,3129.0,18.0,1.0,33.0,0.0,0.0,55.0,789.0,70.0,295.0,343.0,186.0,22.0,25.0,45.4,43.9,46.8
01432,77462.0,42565.0,7594.0,6635.0,295.0,0.0,408.0,0.0,236.0,362.0,1377.0,172.0,482.0,1098.0,799.0,114.0,99.0,38.8,38.0,39.2
