Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age,Median House Construction/Year,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Cost,Poverty,Poverty Male,Poverty Female,Family Poverty
33172,41410.0,19177.0,38958.0,36673.0,492.0,32.0,419.0,0.0,867.0,35805.0,7847.0,539.0,2986.0,5239.0,1224.0,386.0,123.0,38.3,36.6,39.6,1983.0,1102.0,1233.0,117400.0,1350.0,7061.0,2956.0,4105.0,1485.0
33173,54300.0,26598.0,35354.0,33271.0,621.0,35.0,565.0,48.0,468.0,28198.0,4908.0,644.0,2261.0,5902.0,1886.0,676.0,323.0,41.2,38.8,43.7,1974.0,1195.0,1320.0,242000.0,1922.0,3880.0,1867.0,2013.0,621.0
33174,35776.0,16611.0,29409.0,27203.0,1117.0,41.0,399.0,0.0,216.0,26398.0,5219.0,571.0,2311.0,3533.0,746.0,400.0,183.0,41.5,39.0,44.5,1979.0,1009.0,1158.0,182400.0,1626.0,5730.0,2334.0,3396.0,1100.0
33175,49729.0,20789.0,52348.0,50319.0,405.0,100.0,412.0,0.0,388.0,48306.0,10967.0,676.0,3615.0,6063.0,1729.0,776.0,326.0,42.8,40.5,45.2,1980.0,1196.0,1400.0,227700.0,1799.0,6826.0,3172.0,3654.0,1464.0
33176,60472.0,32269.0,51207.0,39707.0,7873.0,30.0,1907.0,0.0,979.0,27438.0,6900.0,786.0,3416.0,8991.0,3923.0,1300.0,726.0,40.5,38.5,42.5,1976.0,1069.0,1204.0,308200.0,2083.0,5991.0,2703.0,3288.0,1120.0
33177,55559.0,18186.0,56355.0,44332.0,7842.0,114.0,886.0,0.0,875.0,41881.0,11166.0,1575.0,2702.0,5025.0,1076.0,776.0,277.0,38.6,37.5,39.4,1989.0,1123.0,1321.0,165900.0,1753.0,6999.0,3124.0,3875.0,1281.0
33178,72704.0,27088.0,42701.0,37677.0,1689.0,158.0,2223.0,0.0,540.0,32284.0,4814.0,265.0,2225.0,9769.0,3575.0,1009.0,323.0,33.8,32.4,35.1,2001.0,1630.0,1750.0,291400.0,2530.0,3844.0,1602.0,2242.0,928.0
33179,44325.0,22869.0,41977.0,23461.0,16080.0,18.0,1070.0,0.0,749.0,14109.0,8148.0,622.0,3193.0,4970.0,1601.0,806.0,276.0,39.2,37.3,41.1,1973.0,1004.0,1132.0,119600.0,1495.0,6397.0,2430.0,3967.0,1278.0
33180,68317.0,44779.0,32972.0,29489.0,1786.0,31.0,261.0,25.0,630.0,11656.0,4621.0,315.0,1662.0,6461.0,3407.0,1762.0,642.0,43.9,41.9,45.1,1989.0,1492.0,1649.0,328300.0,2425.0,3988.0,1542.0,2446.0,816.0
33181,37718.0,27662.0,17665.0,10850.0,5342.0,61.0,785.0,0.0,111.0,6649.0,2643.0,376.0,1040.0,2049.0,840.0,668.0,174.0,35.8,35.4,36.1,1970.0,898.0,1002.0,172300.0,1863.0,3582.0,1530.0,2052.0,685.0
