,,,North,0.021399901,,South,-0.021399901,,East,,0.023518703,West,,-0.023518703,NE,0.021399901,0.023518703,SW,-0.021399901,-0.023518703,SE,-0.021399901,0.023518703,NW,0.021399901,-0.023518703
zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi
33243,25.7061206,-80.2901289,33243,25.7275205,-80.2901289,33243,25.6847207,-80.2901289,33243,25.7061206,-80.2666102,33243,25.7061206,-80.3136476,33243,25.7275205,-80.2666102,33243,25.6847207,-80.3136476,33243,25.6847207,-80.2666102,33243,25.7275205,-80.3136476
33242,25.8021455,-80.2255572,33242,25.8235454,-80.2255572,33242,25.7807456,-80.2255572,33242,25.8021455,-80.2020385,33242,25.8021455,-80.2490759,33242,25.8235454,-80.2020385,33242,25.7807456,-80.2490759,33242,25.7807456,-80.2020385,33242,25.8235454,-80.2490759
33196,25.6697865,-80.4660256,33196,25.6911864,-80.4660256,33196,25.6483866,-80.4660256,33196,25.6697865,-80.4425069,33196,25.6697865,-80.4895443,33196,25.6911864,-80.4425069,33196,25.6483866,-80.4895443,33196,25.6483866,-80.4425069,33196,25.6911864,-80.4895443
33197,25.5961,-80.35995,33197,25.6174999,-80.35995,33197,25.5747001,-80.35995,33197,25.5961,-80.3364313,33197,25.5961,-80.3834687,33197,25.6174999,-80.3364313,33197,25.5747001,-80.3834687,33197,25.5747001,-80.3364313,33197,25.6174999,-80.3834687
33199,25.7538975,-80.3770443,33199,25.7752974,-80.3770443,33199,25.7324976,-80.3770443,33199,25.7538975,-80.3535256,33199,25.7538975,-80.400563,33199,25.7752974,-80.3535256,33199,25.7324976,-80.400563,33199,25.7324976,-80.3535256,33199,25.7752974,-80.400563
33206,25.7215467,-80.26835,33206,25.7429466,-80.26835,33206,25.7001468,-80.26835,33206,25.7215467,-80.2448313,33206,25.7215467,-80.2918687,33206,25.7429466,-80.2448313,33206,25.7001468,-80.2918687,33206,25.7001468,-80.2448313,33206,25.7429466,-80.2918687
33222,25.7328724,-80.2415866,33222,25.7542723,-80.2415866,33222,25.7114725,-80.2415866,33222,25.7328724,-80.2180679,33222,25.7328724,-80.2651053,33222,25.7542723,-80.2180679,33222,25.7114725,-80.2651053,33222,25.7114725,-80.2180679,33222,25.7542723,-80.2651053
33231,25.73,-80.3,33231,25.7513999,-80.3,33231,25.7086001,-80.3,33231,25.73,-80.2764813,33231,25.73,-80.3235187,33231,25.7513999,-80.2764813,33231,25.7086001,-80.3235187,33231,25.7086001,-80.2764813,33231,25.7513999,-80.3235187
33233,25.728011,-80.2454223,33233,25.7494109,-80.2454223,33233,25.7066111,-80.2454223,33233,25.728011,-80.2219036,33233,25.728011,-80.268941,33233,25.7494109,-80.2219036,33233,25.7066111,-80.268941,33233,25.7066111,-80.2219036,33233,25.7494109,-80.268941
33234,25.73,-80.24,33234,25.7513999,-80.24,33234,25.7086001,-80.24,33234,25.73,-80.2164813,33234,25.73,-80.2635187,33234,25.7513999,-80.2164813,33234,25.7086001,-80.2635187,33234,25.7086001,-80.2164813,33234,25.7513999,-80.2635187
33238,25.8523457,-80.1945365,33238,25.8737456,-80.1945365,33238,25.8309458,-80.1945365,33238,25.8523457,-80.1710178,33238,25.8523457,-80.2180552,33238,25.8737456,-80.1710178,33238,25.8309458,-80.2180552,33238,25.8309458,-80.1710178,33238,25.8737456,-80.2180552
33299,25.7715786,-80.1460348,33299,25.7929785,-80.1460348,33299,25.7501787,-80.1460348,33299,25.7715786,-80.1225161,33299,25.7715786,-80.1695535,33299,25.7929785,-80.1225161,33299,25.7501787,-80.1695535,33299,25.7501787,-80.1225161,33299,25.7929785,-80.1695535
33296,25.66,-80.36,33296,25.6813999,-80.36,33296,25.6386001,-80.36,33296,25.66,-80.3364813,33296,25.66,-80.3835187,33296,25.6813999,-80.3364813,33296,25.6386001,-80.3835187,33296,25.6386001,-80.3364813,33296,25.6813999,-80.3835187
33164,25.93,-80.18,33164,25.9513999,-80.18,33164,25.9086001,-80.18,33164,25.93,-80.1564813,33164,25.93,-80.2035187,33164,25.9513999,-80.1564813,33164,25.9086001,-80.2035187,33164,25.9086001,-80.1564813,33164,25.9513999,-80.2035187
